paper_id,title,abstract,publication_year,citation_count,rot_score,doi,source_url,quality_group
28,A Joint Model for Question Answering and Question Generation,We propose a generative machine comprehension model that learns jointly to ask and answer questions based on documents. The proposed model uses a sequence-to-sequence framework that encodes the docume...,2017,561,62.33,N/A,http://arxiv.org/abs/1706.01450v1,Low ROT
36,EvoPrompting: Language Models for Code-Level Neural Architecture Search,"Given the recent impressive accomplishments of language models (LMs) for code generation, we explore the use of LMs as adaptive mutation and crossover operators for an evolutionary neural architecture...",2023,180,60.0,N/A,http://arxiv.org/abs/2302.14838v3,Low ROT
38,Early stopping by correlating online indicators in neural networks,"In order to minimize the generalization error in neural networks, a novel technique to identify overfitting phenomena when training the learner is formally introduced. This enables support of a reliab...",2024,107,53.5,N/A,http://arxiv.org/abs/2402.02513v1,Low ROT
40,Poisoning Knowledge Graph Embeddings via Relation Inference Patterns,"We study the problem of generating data poisoning attacks against Knowledge Graph Embedding (KGE) models for the task of link prediction in knowledge graphs. To poison KGE models, we propose to exploi...",2021,257,51.4,N/A,http://arxiv.org/abs/2111.06345v1,Low ROT
16,Adaptive Integrated Layered Attention (AILA),"We propose Adaptive Integrated Layered Attention (AILA), a neural network architecture that combines dense skip connections with different mechanisms for adaptive feature reuse across network layers. ...",2025,48,48.0,N/A,http://arxiv.org/abs/2503.22742v2,Low ROT
27,A Recurrent Neural Model with Attention for the Recognition of Chinese Implicit Discourse Relations,We introduce an attention-based Bi-LSTM for Chinese implicit discourse relations and demonstrate that modeling argument pairs as a joint sequence can outperform word order-agnostic approaches. Our mod...,2017,414,46.0,N/A,http://arxiv.org/abs/1704.08092v1,Low ROT
46,The Ubuntu Dialogue Corpus: A Large Dataset for Research in Unstructured Multi-Turn Dialogue Systems,"This paper introduces the Ubuntu Dialogue Corpus, a dataset containing almost 1 million multi-turn dialogues, with a total of over 7 million utterances and 100 million words. This provides a unique re...",2015,432,39.27,N/A,http://arxiv.org/abs/1506.08909v3,Low ROT
21,Adversarial Attacks on Knowledge Graph Embeddings via Instance Attribution Methods,"Despite the widespread use of Knowledge Graph Embeddings (KGE), little is known about the security vulnerabilities that might disrupt their intended behaviour. We study data poisoning attacks against ...",2021,184,36.8,N/A,http://arxiv.org/abs/2111.03120v1,Low ROT
47,Building End-To-End Dialogue Systems Using Generative Hierarchical Neural Network Models,"We investigate the task of building open domain, conversational dialogue systems based on large dialogue corpora using generative models. Generative models produce system responses that are autonomous...",2015,340,30.91,N/A,http://arxiv.org/abs/1507.04808v3,Low ROT
10,Creating Trustworthy LLMs: Dealing with Hallucinations in Healthcare AI,Large language models have proliferated across multiple domains in as short period of time. There is however hesitation in the medical and healthcare domain towards their adoption because of issues li...,2023,87,29.0,N/A,http://arxiv.org/abs/2311.01463v1,Low ROT
