paper_id,title,abstract,publication_year,citation_count,rot_score,doi,source_url,quality_group
20,Generating Factoid Questions With Recurrent Neural Networks: The 30M Factoid Question-Answer Corpus,"Over the past decade, large-scale supervised learning corpora have enabled machine learning researchers to make substantial advances. However, to this date, there are no large-scale question-answer co...",2016,4804,480.4,N/A,http://arxiv.org/abs/1603.06807v2,High ROT
7,hyper-sinh: An Accurate and Reliable Function from Shallow to Deep Learning in TensorFlow and Keras,"This paper presents the 'hyper-sinh', a variation of the m-arcsinh activation function suitable for Deep Learning (DL)-based algorithms for supervised learning, such as Convolutional Neural Networks (...",2020,1908,318.0,N/A,http://arxiv.org/abs/2011.07661v1,High ROT
30,NUIG-Shubhanker@Dravidian-CodeMix-FIRE2020: Sentiment Analysis of Code-Mixed Dravidian text using XL...,"Social media has penetrated into multilingual societies, however most of them use English to be a preferred language for communication. So it looks natural for them to mix their cultural language with...",2020,1799,299.83,N/A,http://arxiv.org/abs/2010.07773v1,High ROT
42,Collaborative Storytelling with Large-scale Neural Language Models,"Storytelling plays a central role in human socializing and entertainment. However, much of the research on automatic storytelling generation assumes that stories will be generated by an agent without ...",2020,1688,281.33,N/A,http://arxiv.org/abs/2011.10208v1,High ROT
19,The Next Big Thing(s) in Unsupervised Machine Learning: Five Lessons from Infant Learning,"After a surge in popularity of supervised Deep Learning, the desire to reduce the dependence on curated, labelled data sets and to leverage the vast quantities of unlabelled data available recently tr...",2020,1672,278.67,N/A,http://arxiv.org/abs/2009.08497v1,High ROT
5,Learning Visual Question Answering by Bootstrapping Hard Attention,Attention mechanisms in biological perception are thought to select subsets of perceptual information for more sophisticated processing which would be prohibitive to perform on all sensory inputs. In ...,2018,1889,236.12,N/A,http://arxiv.org/abs/1808.00300v1,High ROT
6,Document Image Coding and Clustering for Script Discrimination,The paper introduces a new method for discrimination of documents given in different scripts. The document is mapped into a uniformly coded text of numerical values. It is derived from the position of...,2016,1530,153.0,N/A,http://arxiv.org/abs/1609.06492v1,High ROT
25,Dirichlet Variational Autoencoder for Text Modeling,"We introduce an improved variational autoencoder (VAE) for text modeling with topic information explicitly modeled as a Dirichlet latent variable. By providing the proposed model topic awareness, it i...",2018,1089,136.12,N/A,http://arxiv.org/abs/1811.00135v1,High ROT
45,A Neural Network Approach to Context-Sensitive Generation of Conversational Responses,We present a novel response generation system that can be trained end to end on large quantities of unstructured Twitter conversations. A neural network architecture is used to address sparsity issues...,2015,1456,132.36,N/A,http://arxiv.org/abs/1506.06714v1,High ROT
50,What to talk about and how? Selective Generation using LSTMs with Coarse-to-Fine Alignment,"We propose an end-to-end, domain-independent neural encoder-aligner-decoder model for selective generation, i.e., the joint task of content selection and surface realization. Our model first encodes a...",2015,1450,131.82,N/A,http://arxiv.org/abs/1509.00838v2,High ROT
49,Towards Neural Network-based Reasoning,"We propose Neural Reasoner, a framework for neural network-based reasoning over natural language sentences. Given a question, Neural Reasoner can infer over multiple supporting facts and find an answe...",2015,1420,129.09,N/A,http://arxiv.org/abs/1508.05508v1,High ROT
51,Incorporating Copying Mechanism in Sequence-to-Sequence Learning,"We address an important problem in sequence-to-sequence (Seq2Seq) learning referred to as copying, in which certain segments in the input sequence are selectively replicated in the output sequence. A ...",2016,1257,125.7,N/A,http://arxiv.org/abs/1603.06393v3,High ROT
48,End-to-End Attention-based Large Vocabulary Speech Recognition,Many of the current state-of-the-art Large Vocabulary Continuous Speech Recognition Systems (LVCSR) are hybrids of neural networks and Hidden Markov Models (HMMs). Most of these systems contain separa...,2015,1280,116.36,N/A,http://arxiv.org/abs/1508.04395v2,High ROT
2,pix2code: Generating Code from a Graphical User Interface Screenshot,"Transforming a graphical user interface screenshot created by a designer into computer code is a typical task conducted by a developer in order to build customized software, websites, and mobile appli...",2017,975,108.33,N/A,http://arxiv.org/abs/1705.07962v2,High ROT
22,Transformer Quality in Linear Time,"We revisit the design choices in Transformers, and propose methods to address their weaknesses in handling long sequences. First, we propose a simple layer named gated attention unit, which allows the...",2022,425,106.25,N/A,http://arxiv.org/abs/2202.10447v2,High ROT
44,Recurrent Neural Networks with External Memory for Language Understanding,"Recurrent Neural Networks (RNNs) have become increasingly popular for the task of language understanding. In this task, a semantic tagger is deployed to associate a semantic label to each word in an i...",2015,1157,105.18,N/A,http://arxiv.org/abs/1506.00195v1,High ROT
39,Sentence Pair Scoring: Towards Unified Framework for Text Comprehension,"We review the task of Sentence Pair Scoring, popular in the literature in various forms - viewed as Answer Sentence Selection, Semantic Text Scoring, Next Utterance Ranking, Recognizing Textual Entail...",2016,1004,100.4,N/A,http://arxiv.org/abs/1603.06127v4,High ROT
29,Quantifying Uncertainties in Natural Language Processing Tasks,"Reliable uncertainty quantification is a first step towards building explainable, transparent, and accountable artificial intelligent systems. Recent progress in Bayesian deep learning has made such q...",2018,755,94.38,N/A,http://arxiv.org/abs/1811.07253v1,High ROT
17,Towards Explainable NLP: A Generative Explanation Framework for Text Classification,"Building explainable systems is a critical problem in the field of Natural Language Processing (NLP), since most machine learning models provide no explanations for the predictions. Existing approache...",2018,755,94.38,N/A,http://arxiv.org/abs/1811.00196v2,High ROT
18,DopeLearning: A Computational Approach to Rap Lyrics Generation,"Writing rap lyrics requires both creativity to construct a meaningful, interesting story and lyrical skills to produce complex rhyme patterns, which form the cornerstone of good flow. We present a rap...",2015,1017,92.45,N/A,http://arxiv.org/abs/1505.04771v2,High ROT
33,EvoMerge: Neuroevolution for Large Language Models,"Extensive fine-tuning on Large Language Models does not always yield better results. Oftentimes, models tend to get better at imitating one form of data without gaining greater reasoning ability and m...",2024,176,88.0,N/A,http://arxiv.org/abs/2402.00070v1,High ROT
37,Beyond Scale: The Diversity Coefficient as a Data Quality Metric for Variability in Natural Language...,Current trends in pre-training Large Language Models (LLMs) primarily focus on the scaling of model and dataset size. While the quality of pre-training data is considered an important factor for train...,2023,252,84.0,N/A,http://arxiv.org/abs/2306.13840v3,High ROT
41,Robust Document Representations using Latent Topics and Metadata,Task specific fine-tuning of a pre-trained neural language model using a custom softmax output layer is the de facto approach of late when dealing with document classification problems. This technique...,2020,490,81.67,N/A,http://arxiv.org/abs/2010.12681v1,High ROT
4,Tutorial on Answering Questions about Images with Deep Learning,"Together with the development of more accurate methods in Computer Vision and Natural Language Understanding, holistic architectures that answer on questions about the content of real-world images hav...",2016,757,75.7,N/A,http://arxiv.org/abs/1610.01076v1,High ROT
26,Feature Weight Tuning for Recursive Neural Networks,"This paper addresses how a recursive neural network model can automatically leave out useless information and emphasize important evidence, in other words, to perform ""weight tuning"" for higher-level ...",2014,886,73.83,N/A,http://arxiv.org/abs/1412.3714v2,High ROT
28,A Joint Model for Question Answering and Question Generation,We propose a generative machine comprehension model that learns jointly to ask and answer questions based on documents. The proposed model uses a sequence-to-sequence framework that encodes the docume...,2017,561,62.33,N/A,http://arxiv.org/abs/1706.01450v1,Low ROT
36,EvoPrompting: Language Models for Code-Level Neural Architecture Search,"Given the recent impressive accomplishments of language models (LMs) for code generation, we explore the use of LMs as adaptive mutation and crossover operators for an evolutionary neural architecture...",2023,180,60.0,N/A,http://arxiv.org/abs/2302.14838v3,Low ROT
38,Early stopping by correlating online indicators in neural networks,"In order to minimize the generalization error in neural networks, a novel technique to identify overfitting phenomena when training the learner is formally introduced. This enables support of a reliab...",2024,107,53.5,N/A,http://arxiv.org/abs/2402.02513v1,Low ROT
40,Poisoning Knowledge Graph Embeddings via Relation Inference Patterns,"We study the problem of generating data poisoning attacks against Knowledge Graph Embedding (KGE) models for the task of link prediction in knowledge graphs. To poison KGE models, we propose to exploi...",2021,257,51.4,N/A,http://arxiv.org/abs/2111.06345v1,Low ROT
16,Adaptive Integrated Layered Attention (AILA),"We propose Adaptive Integrated Layered Attention (AILA), a neural network architecture that combines dense skip connections with different mechanisms for adaptive feature reuse across network layers. ...",2025,48,48.0,N/A,http://arxiv.org/abs/2503.22742v2,Low ROT
27,A Recurrent Neural Model with Attention for the Recognition of Chinese Implicit Discourse Relations,We introduce an attention-based Bi-LSTM for Chinese implicit discourse relations and demonstrate that modeling argument pairs as a joint sequence can outperform word order-agnostic approaches. Our mod...,2017,414,46.0,N/A,http://arxiv.org/abs/1704.08092v1,Low ROT
46,The Ubuntu Dialogue Corpus: A Large Dataset for Research in Unstructured Multi-Turn Dialogue Systems,"This paper introduces the Ubuntu Dialogue Corpus, a dataset containing almost 1 million multi-turn dialogues, with a total of over 7 million utterances and 100 million words. This provides a unique re...",2015,432,39.27,N/A,http://arxiv.org/abs/1506.08909v3,Low ROT
