paper_id,title,abstract,publication_year,citation_count,rot_score,doi,source_url,rot_group
296,Generative Adversarial Networks for Image Synthesis - Study 194,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2025,259,259.0,synthetic_194,https://synthetic.paper/194,High ROT
219,Advanced Neural Network Architectures for Deep Learning - Study 117,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2025,240,240.0,synthetic_117,https://synthetic.paper/117,High ROT
264,Advanced Neural Network Architectures for Deep Learning - Study 162,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,229,229.0,synthetic_162,https://synthetic.paper/162,High ROT
401,Generative Adversarial Networks for Image Synthesis - Study 299,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2025,225,225.0,synthetic_299,https://synthetic.paper/299,High ROT
109,Explainable AI for Trustworthy Machine Learning - Study 7,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,221,221.0,synthetic_7,https://synthetic.paper/7,High ROT
176,Neural Network Compression Techniques - Study 74,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2025,220,220.0,synthetic_74,https://synthetic.paper/74,High ROT
362,Federated Learning for Privacy-Preserving AI - Study 260,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2025,209,209.0,synthetic_260,https://synthetic.paper/260,High ROT
226,Quantum Machine Learning Algorithms - Study 124,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2025,208,208.0,synthetic_124,https://synthetic.paper/124,High ROT
115,Explainable AI for Trustworthy Machine Learning - Study 13,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2025,203,203.0,synthetic_13,https://synthetic.paper/13,High ROT
275,Generative Adversarial Networks for Image Synthesis - Study 173,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2025,181,181.0,synthetic_173,https://synthetic.paper/173,High ROT
286,Reinforcement Learning for Autonomous Systems - Study 184,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2025,176,176.0,synthetic_184,https://synthetic.paper/184,High ROT
110,Optimization Algorithms in Machine Learning - Study 8,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,170,170.0,synthetic_8,https://synthetic.paper/8,High ROT
181,Meta-Learning Approaches for Few-Shot Learning - Study 79,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2025,168,168.0,synthetic_79,https://synthetic.paper/79,High ROT
256,Knowledge Distillation in Deep Learning - Study 154,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2025,164,164.0,synthetic_154,https://synthetic.paper/154,High ROT
285,Adversarial Training for Robust Neural Networks - Study 183,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2025,164,164.0,synthetic_183,https://synthetic.paper/183,High ROT
374,Quantum Machine Learning Algorithms - Study 272,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2025,152,152.0,synthetic_272,https://synthetic.paper/272,High ROT
133,Quantum Machine Learning Algorithms - Study 31,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,150,150.0,synthetic_31,https://synthetic.paper/31,High ROT
52,GLU Attention Improve Transformer,"Gated Linear Units (GLU) have shown great potential in enhancing neural
network performance. In this paper, I introduce a novel attention mechanism
called GLU Attention, which introduces nonlinearity into the values of
Attention. My experiments demonstrate that GLU Attention improves both model
performance and convergence speed across text and vision modalities with zero
additional parameters and negligible computational costs. GLU Attention is
lightweight and can seamlessly integrate with other technologies, such as Flash
Attention, Rotary Position Embedding (RoPE), and various Multi-Head Attention
(MHA) variants such as Grouped-Query Attention (GQA). This project is
open-sourced at github.",2025,149,149.0,,http://arxiv.org/abs/2507.00022v1,High ROT
377,Machine Learning Applications in Computer Vision - Study 275,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2025,146,146.0,synthetic_275,https://synthetic.paper/275,High ROT
161,Reinforcement Learning for Autonomous Systems - Study 59,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2025,145,145.0,synthetic_59,https://synthetic.paper/59,High ROT
383,Graph Neural Networks for Social Network Analysis - Study 281,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2025,144,144.0,synthetic_281,https://synthetic.paper/281,High ROT
96,"Comply: Learning Sentences with Complex Weights inspired by Fruit Fly
  Olfaction","Biologically inspired neural networks offer alternative avenues to model data
distributions. FlyVec is a recent example that draws inspiration from the fruit
fly's olfactory circuit to tackle the task of learning word embeddings.
Surprisingly, this model performs competitively even against deep learning
approaches specifically designed to encode text, and it does so with the
highest degree of computational efficiency. We pose the question of whether
this performance can be improved further. For this, we introduce Comply. By
incorporating positional information through complex weights, we enable a
single-layer neural network to learn sequence representations. Our experiments
show that Comply not only supersedes FlyVec but also performs on par with
significantly larger state-of-the-art models. We achieve this without
additional parameters. Comply yields sparse contextual representations of
sentences that can be interpreted explicitly from the neuron weights.",2025,143,143.0,,http://arxiv.org/abs/2502.01706v2,High ROT
397,Continual Learning in Neural Networks - Study 295,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2025,140,140.0,synthetic_295,https://synthetic.paper/295,High ROT
358,Explainable AI for Trustworthy Machine Learning - Study 256,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2025,136,136.0,synthetic_256,https://synthetic.paper/256,High ROT
375,Neural Architecture Search for Automated ML - Study 273,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2025,133,133.0,synthetic_273,https://synthetic.paper/273,High ROT
13,"LLM2TEA: Agentic AI Designer Finds Innovative Objects with Generative
  Evolutionary Multitasking","In this paper, we introduce LLM-driven MultiTask Evolutionary Algorithm
(LLM2TEA), the first agentic AI designer within a generative evolutionary
multitasking (GEM) framework that promotes the crossover and synergy of designs
from multiple domains, leading to innovative solutions that transcend
individual disciplines. Of particular interest is the discovery of objects that
are not only innovative but also conform to the physical specifications of the
real world in science and engineering. LLM2TEA comprises a large language model
to initialize a population of genotypes (defined by text prompts) describing
the objects of interest, a text-to-3D generative model to produce phenotypes
from these prompts, a classifier to interpret the semantic representations of
the objects, and a physics simulation model to assess their physical
properties. We propose several novel LLM-based multitask evolutionary operators
to guide the search toward the discovery of high-performing practical objects.
Experimental results in conceptual design optimization validate the
effectiveness of LLM2TEA, revealing from 97\% to 174\% improvement in the
diversity of innovative objects compared to the present text-to-3D generative
model baseline. In addition, more than 73\% of the generated designs have
better physical performance than the top 1\% percentile of the designs
generated in the baseline. Moreover, LLM2TEA generates designs that are not
only aesthetically creative but also functional in real-world applications.
Several of these designs have been successfully 3D-printed, emphasizing the
proposed approach's capacity to transform AI-generated outputs into tangible
physical objects. The designs produced by LLM2TEA meets practical requirements
while showcasing creative and innovative features, underscoring its potential
applications in complex design optimization and discovery.",2024,248,124.0,,http://arxiv.org/abs/2406.14917v2,High ROT
34,Large Language Models and Emergence: A Complex Systems Perspective,"Emergence is a concept in complexity science that describes how many-body
systems manifest novel higher-level properties, properties that can be
described by replacing high-dimensional mechanisms with lower-dimensional
effective variables and theories. This is captured by the idea ""more is
different"". Intelligence is a consummate emergent property manifesting
increasingly efficient -- cheaper and faster -- uses of emergent capabilities
to solve problems. This is captured by the idea ""less is more"". In this paper,
we first examine claims that Large Language Models exhibit emergent
capabilities, reviewing several approaches to quantifying emergence, and
secondly ask whether LLMs possess emergent intelligence.",2025,121,121.0,,http://arxiv.org/abs/2506.11135v1,High ROT
221,Optimization Algorithms in Machine Learning - Study 119,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2025,114,114.0,synthetic_119,https://synthetic.paper/119,High ROT
290,Attention Mechanisms in Neural Networks - Study 188,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2025,109,109.0,synthetic_188,https://synthetic.paper/188,High ROT
341,Multi-Modal Learning with Neural Networks - Study 239,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2024,217,108.5,synthetic_239,https://synthetic.paper/239,High ROT
148,Reinforcement Learning for Autonomous Systems - Study 46,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2024,213,106.5,synthetic_46,https://synthetic.paper/46,High ROT
95,"Benchmarking Randomized Optimization Algorithms on Binary, Permutation,
  and Combinatorial Problem Landscapes","In this paper, we evaluate the performance of four randomized optimization
algorithms: Randomized Hill Climbing (RHC), Simulated Annealing (SA), Genetic
Algorithms (GA), and MIMIC (Mutual Information Maximizing Input Clustering),
across three distinct types of problems: binary, permutation, and
combinatorial. We systematically compare these algorithms using a set of
benchmark fitness functions that highlight the specific challenges and
requirements of each problem category. Our study analyzes each algorithm's
effectiveness based on key performance metrics, including solution quality,
convergence speed, computational cost, and robustness. Results show that while
MIMIC and GA excel in producing high-quality solutions for binary and
combinatorial problems, their computational demands vary significantly. RHC and
SA, while computationally less expensive, demonstrate limited performance in
complex problem landscapes. The findings offer valuable insights into the
trade-offs between different optimization strategies and provide practical
guidance for selecting the appropriate algorithm based on the type of problems,
accuracy requirements, and computational constraints.",2025,102,102.0,,http://arxiv.org/abs/2501.17170v1,High ROT
107,Neural Architecture Search for Automated ML - Study 5,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2024,198,99.0,synthetic_5,https://synthetic.paper/5,High ROT
379,Quantum Machine Learning Algorithms - Study 277,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,98,98.0,synthetic_277,https://synthetic.paper/277,High ROT
175,Reinforcement Learning for Autonomous Systems - Study 73,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2024,196,98.0,synthetic_73,https://synthetic.paper/73,High ROT
97,"LLM-FE: Automated Feature Engineering for Tabular Data with LLMs as
  Evolutionary Optimizers","Automated feature engineering plays a critical role in improving predictive
model performance for tabular learning tasks. Traditional automated feature
engineering methods are limited by their reliance on pre-defined
transformations within fixed, manually designed search spaces, often neglecting
domain knowledge. Recent advances using Large Language Models (LLMs) have
enabled the integration of domain knowledge into the feature engineering
process. However, existing LLM-based approaches use direct prompting or rely
solely on validation scores for feature selection, failing to leverage insights
from prior feature discovery experiments or establish meaningful reasoning
between feature generation and data-driven performance. To address these
challenges, we propose LLM-FE, a novel framework that combines evolutionary
search with the domain knowledge and reasoning capabilities of LLMs to
automatically discover effective features for tabular learning tasks. LLM-FE
formulates feature engineering as a program search problem, where LLMs propose
new feature transformation programs iteratively, and data-driven feedback
guides the search process. Our results demonstrate that LLM-FE consistently
outperforms state-of-the-art baselines, significantly enhancing the performance
of tabular prediction models across diverse classification and regression
benchmarks.",2025,96,96.0,,http://arxiv.org/abs/2503.14434v2,High ROT
38,Early stopping by correlating online indicators in neural networks,"In order to minimize the generalization error in neural networks, a novel
technique to identify overfitting phenomena when training the learner is
formally introduced. This enables support of a reliable and trustworthy early
stopping condition, thus improving the predictive power of that type of
modeling. Our proposal exploits the correlation over time in a collection of
online indicators, namely characteristic functions for indicating if a set of
hypotheses are met, associated with a range of independent stopping conditions
built from a canary judgment to evaluate the presence of overfitting. That way,
we provide a formal basis for decision making in terms of interrupting the
learning process.
  As opposed to previous approaches focused on a single criterion, we take
advantage of subsidiarities between independent assessments, thus seeking both
a wider operating range and greater diagnostic reliability. With a view to
illustrating the effectiveness of the halting condition described, we choose to
work in the sphere of natural language processing, an operational continuum
increasingly based on machine learning. As a case study, we focus on parser
generation, one of the most demanding and complex tasks in the domain. The
selection of cross-validation as a canary function enables an actual comparison
with the most representative early stopping conditions based on overfitting
identification, pointing to a promising start toward an optimal bias and
variance control.",2024,190,95.0,,http://arxiv.org/abs/2402.02513v1,High ROT
373,Federated Learning for Privacy-Preserving AI - Study 271,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,95,95.0,synthetic_271,https://synthetic.paper/271,High ROT
299,Attention Mechanisms in Neural Networks - Study 197,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2025,89,89.0,synthetic_197,https://synthetic.paper/197,High ROT
94,"Interlocking-free Selective Rationalization Through Genetic-based
  Learning","A popular end-to-end architecture for selective rationalization is the
select-then-predict pipeline, comprising a generator to extract highlights fed
to a predictor. Such a cooperative system suffers from suboptimal equilibrium
minima due to the dominance of one of the two modules, a phenomenon known as
interlocking. While several contributions aimed at addressing interlocking,
they only mitigate its effect, often by introducing feature-based heuristics,
sampling, and ad-hoc regularizations. We present GenSPP, the first
interlocking-free architecture for selective rationalization that does not
require any learning overhead, as the above-mentioned. GenSPP avoids
interlocking by performing disjoint training of the generator and predictor via
genetic global search. Experiments on a synthetic and a real-world benchmark
show that our model outperforms several state-of-the-art competitors.",2024,174,87.0,,http://arxiv.org/abs/2412.10312v2,High ROT
360,Explainable AI for Trustworthy Machine Learning - Study 258,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2025,87,87.0,synthetic_258,https://synthetic.paper/258,High ROT
272,Adversarial Training for Robust Neural Networks - Study 170,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2025,86,86.0,synthetic_170,https://synthetic.paper/170,High ROT
343,Meta-Learning Approaches for Few-Shot Learning - Study 241,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2025,85,85.0,synthetic_241,https://synthetic.paper/241,High ROT
37,"Beyond Scale: The Diversity Coefficient as a Data Quality Metric for
  Variability in Natural Language Data","Current trends in pre-training Large Language Models (LLMs) primarily focus
on the scaling of model and dataset size. While the quality of pre-training
data is considered an important factor for training powerful LLMs, it remains a
nebulous concept that has not been rigorously characterized. To this end, we
propose a formalization of one key aspect of data quality -- measuring the
variability of natural language data -- specifically via a measure we call the
diversity coefficient. Our empirical analysis shows that the proposed diversity
coefficient aligns with the intuitive properties of diversity and variability,
e.g., it increases as the number of latent concepts increases. Then, we measure
the diversity coefficient of publicly available pre-training datasets and
demonstrate that their formal diversity is high compared to theoretical lower
and upper bounds. Finally, we conduct a comprehensive set of controlled
interventional experiments with GPT-2 and LLaMAv2 that demonstrate the
diversity coefficient of pre-training data characterizes useful aspects of
downstream model evaluation performance -- totaling 44 models of various sizes
(51M to 7B parameters). We conclude that our formal notion of diversity is an
important aspect of data quality that captures variability and causally leads
to improved evaluation performance.",2023,252,84.0,,http://arxiv.org/abs/2306.13840v3,High ROT
92,"Assessing the Emergent Symbolic Reasoning Abilities of Llama Large
  Language Models","Large Language Models (LLMs) achieve impressive performance in a wide range
of tasks, even if they are often trained with the only objective of chatting
fluently with users. Among other skills, LLMs show emergent abilities in
mathematical reasoning benchmarks, which can be elicited with appropriate
prompting methods. In this work, we systematically investigate the capabilities
and limitations of popular open-source LLMs on different symbolic reasoning
tasks. We evaluate three models of the Llama 2 family on two datasets that
require solving mathematical formulas of varying degrees of difficulty. We test
a generalist LLM (Llama 2 Chat) as well as two fine-tuned versions of Llama 2
(MAmmoTH and MetaMath) specifically designed to tackle mathematical problems.
We observe that both increasing the scale of the model and fine-tuning it on
relevant tasks lead to significant performance gains. Furthermore, using
fine-grained evaluation measures, we find that such performance gains are
mostly observed with mathematical formulas of low complexity, which
nevertheless often remain challenging even for the largest fine-tuned models.",2024,162,81.0,,http://arxiv.org/abs/2406.06588v1,High ROT
157,Federated Learning for Privacy-Preserving AI - Study 55,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2025,78,78.0,synthetic_55,https://synthetic.paper/55,High ROT
346,Graph Neural Networks for Social Network Analysis - Study 244,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2025,78,78.0,synthetic_244,https://synthetic.paper/244,High ROT
279,Generative Adversarial Networks for Image Synthesis - Study 177,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2025,76,76.0,synthetic_177,https://synthetic.paper/177,High ROT
113,Attention Mechanisms in Neural Networks - Study 11,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2023,226,75.33333333333333,synthetic_11,https://synthetic.paper/11,High ROT
160,Knowledge Distillation in Deep Learning - Study 58,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2024,150,75.0,synthetic_58,https://synthetic.paper/58,High ROT
400,Neural Architecture Search for Automated ML - Study 298,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2025,75,75.0,synthetic_298,https://synthetic.paper/298,High ROT
141,Attention Mechanisms in Neural Networks - Study 39,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2024,149,74.5,synthetic_39,https://synthetic.paper/39,High ROT
260,Deep Learning for Medical Image Analysis - Study 158,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2024,139,69.5,synthetic_158,https://synthetic.paper/158,High ROT
350,Quantum Machine Learning Algorithms - Study 248,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2024,138,69.0,synthetic_248,https://synthetic.paper/248,High ROT
230,Optimization Algorithms in Machine Learning - Study 128,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2024,136,68.0,synthetic_128,https://synthetic.paper/128,High ROT
127,Reinforcement Learning for Autonomous Systems - Study 25,This research focuses on federated learning techniques that preserve privacy while enabling collaborative AI development.,2024,135,67.5,synthetic_25,https://synthetic.paper/25,High ROT
190,Meta-Learning Approaches for Few-Shot Learning - Study 88,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2024,135,67.5,synthetic_88,https://synthetic.paper/88,High ROT
328,Natural Language Processing with Transformer Models - Study 226,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2024,132,66.0,synthetic_226,https://synthetic.paper/226,High ROT
334,Meta-Learning Approaches for Few-Shot Learning - Study 232,This paper investigates optimization algorithms that enhance the training efficiency of machine learning models.,2024,131,65.5,synthetic_232,https://synthetic.paper/232,High ROT
84,"HULAT at SemEval-2023 Task 10: Data augmentation for pre-trained
  transformers applied to the detection of sexism in social media","This paper describes our participation in SemEval-2023 Task 10, whose goal is
the detection of sexism in social media. We explore some of the most popular
transformer models such as BERT, DistilBERT, RoBERTa, and XLNet. We also study
different data augmentation techniques to increase the training dataset. During
the development phase, our best results were obtained by using RoBERTa and data
augmentation for tasks B and C. However, the use of synthetic data does not
improve the results for task C. We participated in the three subtasks. Our
approach still has much room for improvement, especially in the two
fine-grained classifications. All our code is available in the repository
https://github.com/isegura/hulat_edos.",2023,196,65.33333333333333,,http://arxiv.org/abs/2302.12840v2,High ROT
278,Knowledge Distillation in Deep Learning - Study 176,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2024,130,65.0,synthetic_176,https://synthetic.paper/176,High ROT
352,Natural Language Processing with Transformer Models - Study 250,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2025,64,64.0,synthetic_250,https://synthetic.paper/250,High ROT
288,Meta-Learning Approaches for Few-Shot Learning - Study 186,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2023,192,64.0,synthetic_186,https://synthetic.paper/186,High ROT
163,Continual Learning in Neural Networks - Study 61,We present a comprehensive study of attention mechanisms and their impact on neural network performance.,2023,191,63.666666666666664,synthetic_61,https://synthetic.paper/61,High ROT
