Paper ID,Title,Abstract,Publication Year,Citations,ROT Score,DOI,Source URL,ROT Group
107,Neural Architecture Search for Automated ML - Study 5,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2024,198,99.00,synthetic_5,https://synthetic.paper/5,High ROT
379,Quantum Machine Learning Algorithms - Study 277,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,98,98.00,synthetic_277,https://synthetic.paper/277,High ROT
175,Reinforcement Learning for Autonomous Systems - Study 73,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2024,196,98.00,synthetic_73,https://synthetic.paper/73,High ROT
97,"LLM-FE: Automated Feature Engineering for Tabular Data with LLMs as
  Evolutiona...","Automated feature engineering plays a critical role in improving predictive
model performance for tabular learning tasks. Traditional automated feature
engineering methods are limited by their relianc...",2025,96,96.00,N/A,http://arxiv.org/abs/2503.14434v2,High ROT
38,Early stopping by correlating online indicators in neural networks,"In order to minimize the generalization error in neural networks, a novel
technique to identify overfitting phenomena when training the learner is
formally introduced. This enables support of a reliab...",2024,190,95.00,N/A,http://arxiv.org/abs/2402.02513v1,High ROT
373,Federated Learning for Privacy-Preserving AI - Study 271,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2025,95,95.00,synthetic_271,https://synthetic.paper/271,High ROT
151,Machine Learning Applications in Computer Vision - Study 49,We explore meta-learning strategies that enable rapid adaptation to new tasks with limited training data.,2020,59,9.83,synthetic_49,https://synthetic.paper/49,High ROT
169,Meta-Learning Approaches for Few-Shot Learning - Study 67,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2022,39,9.75,synthetic_67,https://synthetic.paper/67,High ROT
171,Federated Learning for Privacy-Preserving AI - Study 69,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2019,68,9.71,synthetic_69,https://synthetic.paper/69,High ROT
77,"Deep Reinforcement Learning for Chatbots Using Clustered Actions and
  Human-Lik...","Training chatbots using the reinforcement learning paradigm is challenging
due to high-dimensional states, infinite action spaces and the difficulty in
specifying the reward function. We address such ...",2019,67,9.57,N/A,http://arxiv.org/abs/1908.10331v1,High ROT
69,"Mind Your Inflections! Improving NLP for Non-Standard Englishes with
  Base-Infl...","Inflectional variation is a common feature of World Englishes such as
Colloquial Singapore English and African American Vernacular English. Although
comprehension by human readers is usually unimpaire...",2020,57,9.50,N/A,http://arxiv.org/abs/2004.14870v4,High ROT
186,Neural Architecture Search for Automated ML - Study 84,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2022,38,9.50,synthetic_84,https://synthetic.paper/84,High ROT
361,Meta-Learning Approaches for Few-Shot Learning - Study 259,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2019,66,9.43,synthetic_259,https://synthetic.paper/259,High ROT
253,Optimization Algorithms in Machine Learning - Study 151,We introduce a new methodology for applying machine learning techniques to complex computer vision tasks.,2021,46,9.20,synthetic_151,https://synthetic.paper/151,High ROT
118,Multi-Modal Learning with Neural Networks - Study 16,This paper presents a novel approach to neural network architecture design that improves performance across multiple domains.,2022,36,9.00,synthetic_16,https://synthetic.paper/16,High ROT
299,Attention Mechanisms in Neural Networks - Study 197,This work explores reinforcement learning strategies for developing autonomous systems with improved decision-making capabilities.,2025,89,89.00,synthetic_197,https://synthetic.paper/197,High ROT
94,"Interlocking-free Selective Rationalization Through Genetic-based
  Learning","A popular end-to-end architecture for selective rationalization is the
select-then-predict pipeline, comprising a generator to extract highlights fed
to a predictor. Such a cooperative system suffers ...",2024,174,87.00,N/A,http://arxiv.org/abs/2412.10312v2,High ROT
360,Explainable AI for Trustworthy Machine Learning - Study 258,Our research demonstrates the effectiveness of transformer-based models in natural language processing applications.,2025,87,87.00,synthetic_258,https://synthetic.paper/258,High ROT
272,Adversarial Training for Robust Neural Networks - Study 170,We propose a deep learning framework specifically designed for medical image analysis and diagnosis.,2025,86,86.00,synthetic_170,https://synthetic.paper/170,High ROT
343,Meta-Learning Approaches for Few-Shot Learning - Study 241,Our approach utilizes graph neural networks to analyze complex social network structures and relationships.,2025,85,85.00,synthetic_241,https://synthetic.paper/241,High ROT
